Class,Name,Samples,Dice,Dice_std,IoU,IoU_std,Precision,Precision_std,Recall,Recall_std
0,Class 0,50,0.7541296470165253,0.21728640340984087,0.6489662636816501,0.25307157891021576,0.7281208138167858,0.2634696477832688,0.871094532608986,0.1632672824819695
1,Class 1,50,0.8758524703979492,0.1269092898226779,0.7981583181023598,0.17042560547616192,0.8568936145305633,0.17149307169784475,0.9244881093502044,0.08742067498307647
2,Class 2,50,0.7492001409083605,0.19243245366451336,0.6314403652399778,0.21482715134353045,0.7443123921006918,0.2396109794962853,0.8209558004140853,0.19072442284789648
3,Class 3,31,0.8182403233743483,0.17253177667023578,0.7226760882523752,0.2096965294104388,0.7809062220396534,0.21068864548497432,0.8921667337417603,0.12528451303388088
4,Class 4,19,0.7931719175294826,0.2421169730816857,0.7095974146535522,0.26502252518868324,0.7911632819787452,0.280763811901509,0.8771166111293592,0.13840958930016842
5,Class 5,50,0.46880838487408183,0.26386886266342086,0.3465443058788689,0.2373314103969146,0.5154167332090125,0.3300928382175694,0.5868148967599613,0.32211787400828845
6,Class 6,33,0.8858927524451053,0.10427591457251316,0.8092677078463815,0.15132386571446127,0.860483627427708,0.13924686013656803,0.9307195562304873,0.0970439302443408
7,Class 7,15,0.7710222005844116,0.16377067498228895,0.6546835372845332,0.20663963071589236,0.7285907685756683,0.16624690684318608,0.8418034116427103,0.18851976579429572
