N,dice,dice_std,iou,iou_std,precision,precision_std,recall,recall_std
1,0.3240827269767252,0.18895163916842417,0.20914583544361015,0.14102414040283198,0.3969368876486828,0.27498898498805524,0.3764474852351489,0.24262152400128245
2,0.45661050357831023,0.2586179829568302,0.33307256024379744,0.22536284468837653,0.5161380727149038,0.311027353402724,0.5169759362203885,0.3003235979887379
4,0.5572443870419443,0.27358070436982446,0.4349100238828969,0.26097333774912834,0.5897894099590295,0.3098946861031357,0.6285263697510203,0.3005100643458393
8,0.6219069058929566,0.2736188773219151,0.5051890065500656,0.27568714256020516,0.6217632632960349,0.3039084014868254,0.7189261974328649,0.276871696052369
16,0.6694637896740379,0.262538557549441,0.5563078903421925,0.27361661126528924,0.6594724090295604,0.29245092415943597,0.7721526644785537,0.249698761554886
32,0.7053233552647146,0.257207003781937,0.5984064702726206,0.27428122476962236,0.6935272049550376,0.2852467582182307,0.804700528233623,0.24039697816015393
64,0.7291550547596362,0.250072318199884,0.6263396585003821,0.27145660763585866,0.7192382772276156,0.2785288841533371,0.8233416015023762,0.22925773283169995
