Class,Name,Samples,Dice,Dice_std,IoU,IoU_std,Precision,Precision_std,Recall,Recall_std
0,Class 0,110,0.775134022866079,0.2329801047526137,0.6819152069424953,0.2621668386060084,0.7480893007474365,0.2724880759682105,0.8783944081896637,0.18470261820919648
1,Class 1,66,0.8926654841863748,0.11504333858880052,0.8221986822106622,0.1562059335584611,0.8789459478222963,0.15743140605575953,0.9317961777701522,0.07831491168974171
2,Class 2,108,0.7698931034171471,0.17777263701009605,0.6562375376966817,0.21290997782563142,0.7393728237668121,0.23168263028595815,0.862317386135045,0.16198083907237984
3,Class 3,31,0.8149010404463737,0.18193354410176926,0.720453173402817,0.21613354554929812,0.7648194340928909,0.21868741492693214,0.912890657301872,0.11207348730095254
4,Class 4,19,0.7998239347024968,0.218561032561183,0.710575264927588,0.2469408894419723,0.79005562298392,0.2632340167909666,0.8630417616743791,0.13928896497669743
5,Class 5,87,0.5015404447422892,0.2803690463235751,0.38330775552247326,0.2635664705580484,0.5440299283225406,0.33941476664204473,0.6428547100037746,0.32309425674058495
6,Class 6,33,0.9037311040993893,0.08610777710551878,0.8345993666937856,0.13051106866816767,0.8783145583037174,0.12159526405644748,0.9422261444005099,0.0743742786697936
7,Class 7,15,0.7719471633434296,0.1613522391722543,0.655170859893163,0.20384711955188142,0.7197253306706747,0.16288478310267973,0.852789827187856,0.18319925147913152
