N,dice,dice_std,iou,iou_std,precision,precision_std,recall,recall_std
1,0.3946602839275452,0.22381125339112107,0.27160662613092507,0.18715752615163694,0.46508597289654136,0.28687468695415935,0.4309044947568122,0.26075577106931164
2,0.5677190063961195,0.2843566356804696,0.4505696212274734,0.27768488021047466,0.6027904417879991,0.31003530287337333,0.6159117036521518,0.30796876945481433
4,0.6561601893211594,0.26820841447064986,0.5429486150082641,0.2785673464084377,0.6647795458458613,0.2916037639081462,0.7205629148157445,0.2779957017733875
8,0.6986650603803509,0.2586846205533796,0.5904654183871808,0.2742300040314275,0.6919426051514106,0.28356455517802776,0.7729296473708407,0.26127531083733313
16,0.7262211862685715,0.24613318240475168,0.6210619796116418,0.267905595408154,0.7151420119363843,0.2746908938620159,0.8090983310288714,0.2354997228290385
32,0.7433667706461351,0.24394594139192555,0.6428076373621883,0.268317960963568,0.7291964929623447,0.2733048246520798,0.8342419483548305,0.22412359969544574
64,0.7522901049718909,0.24194382561414135,0.6539478358202108,0.2672802342426323,0.737705424407299,0.27174035012867676,0.8438449554964013,0.21749520836971284
